X,Y,N,Pearson_r,Pearson_p,Spearman_r,Spearman_p
Puzzle Storm,Blitz,8466,0.7832,0.0,0.7977,0.0
Puzzle Storm,Bullet,6756,0.7907,0.0,0.7977,0.0
Puzzle Storm,Rapid,7345,0.7595,0.0,0.7762,0.0
Puzzle Storm,Classical,798,0.719,6.541863974945847e-128,0.7169,8.157782768207872e-127
Puzzle Streak,Blitz,10281,0.7063,0.0,0.7312,0.0
Puzzle Streak,Bullet,8117,0.6744,0.0,0.6913,0.0
Puzzle Streak,Rapid,9980,0.7359,0.0,0.7726,0.0
Puzzle Streak,Classical,1026,0.7202,9.139238206142067e-165,0.7496,9.87710856156985e-186
Puzzle Rating,Blitz,21607,0.7546,0.0,0.7446,0.0
Puzzle Rating,Bullet,16320,0.6956,0.0,0.6855,0.0
Puzzle Rating,Rapid,19597,0.8098,0.0,0.812,0.0
Puzzle Rating,Classical,1910,0.759,0.0,0.762,0.0
Puzzle Storm,Puzzle Rating,1328,0.6796,1.1480377099597448e-180,0.6881,5.964959128506578e-187
Puzzle Streak,Puzzle Rating,1605,0.7387,5.656033825454135e-277,0.7704,0.0
Puzzle Storm,Puzzle Streak,13224,0.7388,0.0,0.7598,0.0
Blitz,Bullet,32322,0.8793,0.0,0.8786,0.0
Blitz,Rapid,35872,0.8575,0.0,0.8654,0.0
Bullet,Rapid,35872,0.731,0.0,0.7293,0.0
Play Time,Blitz,44240,0.2216,0.0,0.3197,0.0
Play Time,Bullet,32298,0.154,1.355501919450545e-170,0.2248,0.0
Play Time,Rapid,35833,0.2946,0.0,0.4781,0.0
Play Time,Puzzle Rating,4856,0.222,2.7666365080200116e-55,0.3402,8.203369265396961e-132
Puzzles Solved,Puzzle Rating,4899,0.0654,4.5629005378222646e-06,0.193,2.5257638487259375e-42
